totalLevel,XP,abiIncrease,featIncrease
1,0,,TRUE
2,"1,000",,TRUE
3,"3,000",,TRUE
4,"6,000",TRUE,TRUE
5,"10,000",,TRUE
6,"15,000",,TRUE
7,"21,000",,
8,"28,000",TRUE,TRUE
9,"36,000",,
10,"45,000",,TRUE
11,"55,000",,
12,"70,000",TRUE,TRUE
13,"90,000",,
14,"115,000",,TRUE
15,"145,000",,
16,"180,000",TRUE,
17,"220,000",,
18,"260,000",,TRUE
19,"300,000",,
20,"350,000",TRUE,
21,"410,000",,TRUE
22,"470,000",,
23,"530,000",,
24,"590,000",TRUE,TRUE
25,"650,000",,
26,"720,000",,
27,"790,000",,TRUE
28,"860,000",TRUE,
29,"930,000",,
30,"1,000,000",TRUE,TRUE
