id,name,TR,notes,alignment,description,size,type,space,reach,hp,baseAC,saveTough,saveDodge,saveResist,str,per,agi,end,int,cha,skillAcr,skillAcq,skill Ath,skillBlu,skillCra,skillEng,skillExp,skillGun,skillHtH,skillHan,skillLin,skillLoc,skillPic,skillMel,skillRan,skillRep,skillSci,skillSen,skillSne,skillSur,skillTol,skillThe,skillThr,skillUse,armClo,armHea,armTor,armLfA,armRgA,armLfL,armRgL,meleeOne,meleeTwo,rangedOne,rangedTwo,firearmsOne,firearmsTwo,thrownOne,thrownTwo,specialOne,specialTwo,feats,smallAction
1ant,"Ant, Giant",1,,I,Large eusocial insect exhibiting extreme aggression when defending tunnels or larvae. Individuals show no self-preservation once the colony is threatened.,Average,Insect,5,5,12,12,1,1,1,7,4,4,5,1,1,0,0,2,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1,1,2,0,0,0,,,,,,,,Insect Bite,Leg Swipe,,,,,,,,,Brace | Focus | -,- | - | - | -
1ash,Ash Nomad,1,,CI,"Ash Nomads are hardened wanderers who survive by scavenging the ruins and ash-choked Deadlands, favoring practical gear and caution over open conflict. They are wary, opportunistic, and quick to defend territory or exploit weakness when necessary.",Average,Humanoid,5,5,12,12,1,1,1,6,6,5,5,4,3,1,1,2,1,0,0,0,0,2,0,0,1,0,4,3,0,0,1,2,2,2,0,1,0,Canvas Duster,Leather Hood,,,Leather Jerkin,,,Hatchet,,Shortbow,,,,,,,,Brace | Threaten | -,Break Their Guard | - | - | -
1can,Cannibal Scavenger,1,,CI,"Desperate and feral survivors who hunt the Deadlands for meat and salvage, cannibal scavengers rely on ambush, crude weapons, and sheer ruthlessness.",Average,Humanoid,5,5,12,12,1,1,1,6,5,5,5,3,2,1,2,2,0,0,0,0,0,3,0,0,1,0,3,1,0,0,0,2,2,2,0,1,0,,Leather Cap,,,Padded Vest,,,Heavy Club,,Sling,,,,,,,,Brace | Threaten | -,Bum Rush | Hard to Kill | - | -
1fly,"Fly, Giant",1,,I,"Rapid-breeding carrion insect drawn to waste, corpses, and open wounds. Its presence often precedes outbreaks of disease and infestation.								",Average,Insect,5,5,14,12,1,1,1,4,5,7,4,1,1,2,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,2,1,1,0,0,0,,,,,,,,Insect Bite,,,,,,,,,,Brace | Focus | -,- | - | - | -
1gho,Ghoul,1,,I,c,Average,Undead,5,5,14,12,1,1,1,4,5,3,4,5,2,0,0,0,0,0,0,0,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,Undead Chomp,Undead Swipe,,,,,,,,,Brace | Focus | -,- | - | - | -
1nil,Nilbog,1,,CE,Reality-distorted creature exhibiting erratic behavior and localized causality anomalies. Prolonged observation induces discomfort and confusion.,Average,Humanoid,5,5,12,12,1,1,1,4,5,4,4,4,4,1,1,1,2,0,0,0,0,2,0,0,1,1,2,2,0,0,2,2,1,1,0,0,1,,,,,,,,Club,,,,,,Scrap (40ft),,,,Threaten | - | -,- | - | - | -
1ros,ROUS,1,,CE,"Giant, fearless rodents with powerful jaws that persistently gnaw through barriers and return repeatedly, favoring debris-filled environments until prey or obstacles give way.",Average,Animal,5,5,14,12,1,1,1,7,5,5,6,1,2,1,0,3,0,0,0,0,0,3,0,0,0,1,4,0,0,0,1,2,2,3,0,0,0,,,,,,,,Incisors,,,,,,,,"Terrifting Size: The first time each character is attacked by an ROUS during an encounter, they must succeed on a DC 12 Resist Save or suffer –1 to all attack rolls against the ROUS until the end of their next turn. ",,Brace | Focus | Threaten,- | - | - | -
1sco,"Scorpion, Cave",1,10 Foot reach with stinger,I,"Subterranean arthropod adapted to total darkness. Hunts by vibration and ambush, striking from concealment with sudden precision.								",Average,Insect,5,10,14,12,1,1,1,6,5,5,6,1,1,1,0,2,0,0,0,0,0,3,0,0,0,0,3,0,0,0,1,2,1,3,0,0,0,,,,,,,,Sting,Pincers,,,,,,,"Cave Scorpion Venom Archetype: Paralytic Delivery: Injury (stinger) Save: Toughness DC12 Effect: On a failed save, the target is Paralyzed (cannot take Large Actions; movement reduced to 0) Duration: 1 minute per failed save Removal: Successful Toughness save (one per minute), Medicine, or Magic ",,Brace | Threaten | -,- | - | - | -
1spg,"Spider, Giant",1,,I,"Giant spiders lurk in ruins and vertical spaces, remaining motionless until prey slows or hesitates. They strike from above, using webbing and venom to trap victims before retreating back into shadow.",Large,Animal,10,10,12,12,1,1,1,5,6,6,4,1,1,2,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,2,3,1,2,0,0,0,,,,,,,,Insect Bite,,,,,,,,"Webs: The target must succeed on an DC11 Dodge Save (negates) or become stuck to their space, unable to move until they succeed on a Dodge Save on their turn or the webbing is destroyed by a skill check or fire.",,Brace | Environment | Focus,- | - | - | -
1sps,Spider Swarm,1,,I,Dense mass of smaller arachnids acting as a single organism. Causes panic and disorientation through overwhelming physical contact.,Average,Swarm,5,5,10,12,1,1,1,4,6,6,5,1,1,2,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,2,3,1,2,0,0,0,,,,,,,,Swarm Bites,,,,,,,,"Swarm: Can not be knocked prone, and can not target limbs",,Focus | - | -,- | - | - | -
