id,name,TR,description,size,type,space,reach,hp,baseAC,saveTough,saveDodge,saveResist,str,per,agi,end,int,cha,skillAcr,skillAcq,skill Ath,skillBlu,skillCra,skillEng,skillExp,skillGun,skillHtH,skillHan,skillLin,skillLoc,skillPic,skillMel,skillRan,skillRep,skillSci,skillSen,skillSne,skillSur,skillTol,skillThe,skillThr,skillUse,armClo,armHea,armTor,armLfA,armRgA,armLfL,armRgL,meleeOne,meleeTwo,rangedOne,rangedTwo,firearmsOne,firearmsTwo,thrownOne,thrownTwo,specialOne,specialTwo,feats,smallAction
1ant,"Ant, Giant",1,Large eusocial insect exhibiting extreme aggression when defending tunnels or larvae. Individuals show no self-preservation once the colony is threatened.								,Avg,Insect,5.0,5.0,12,12,1.0,1.0,1.0,7.0,4.0,4.0,5.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,,,,,,,,Bite,Leg Swipe,,,,,,,,,Brace | Focus | -,- | - | - | -
1ash,Ash Nomad,1,"Ash Nomads are hardened wanderers who survive by scavenging the ruins and ash-choked Deadlands, favoring practical gear and caution over open conflict. They are wary, opportunistic, and quick to defend territory or exploit weakness when necessary.",Average Humanoid,Average Humanoid,5.0,5.0,12,12,1.0,1.0,1.0,6.0,6.0,5.0,5.0,4.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,Canvas Duster,Leather Hood,,,Leather Jerkin,,,Hatchet,,Shortbow (60ft) (10),,,,,,,,Brace | Threaten | -,Break Their Guard | - | - | -
1can,Cannibal Scavenger,1,"Desperate and feral survivors who hunt the Deadlands for meat and salvage, cannibal scavengers rely on ambush, crude weapons, and sheer ruthlessness.",Average Humanoid,Average Humanoid,5.0,5.0,12,12,1.0,1.0,1.0,6.0,5.0,5.0,5.0,3.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,,Leather Cap,,,Padded Vest,,,Heavy Club,,Sling (60ft),,,,,,,,Brace | Threaten | -,Bum Rush | Hard to Kill | - | -
1fly,"Fly, Giant",1,"Rapid-breeding carrion insect drawn to waste, corpses, and open wounds. Its presence often precedes outbreaks of disease and infestation.								",Average Insect,Average Insect,5.0,5.0,14,12,1.0,1.0,1.0,4.0,5.0,7.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,Bite,,,,,,,,,,Brace | Focus | -,- | - | - | -
1gho,Ghoul,1,c,Average Insect,Average Insect,5.0,5.0,14,12,1.0,1.0,1.0,4.0,5.0,3.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,Bite,Claw (2),,,,,,,,,Brace | Focus | -,- | - | - | -
1nil,Nilbog,1,Reality-distorted creature exhibiting erratic behavior and localized causality anomalies. Prolonged observation induces discomfort and confusion.                                                                ,Average Humanoid,Average Humanoid,5,5.0,12,12,1.0,1.0,1.0,4.0,5.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,,,,,,,,Homemade Club,,,,,,Scrap (40ft),,,,Threaten | - | -,- | - | - | -
1ros,ROUS,1,"Giant, fearless rodents with powerful jaws that persistently gnaw through barriers and return repeatedly, favoring debris-filled environments until prey or obstacles give way.",Average Animal,Average Animal,5,5.0,14,12,1.0,1.0,1.0,7.0,5.0,5.0,6.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,,,,,,,,Incisors,,,,,,,,"Terrifting Size: The first time each character is attacked by an ROUS during an encounter, they must succeed on a DC 12 Resist Save or suffer –1 to all attack rolls against the ROUS until the end of their next turn. ",,Brace | Focus | Threaten,- | - | - | -
1sco,"Scorpion, Cave",1,"Subterranean arthropod adapted to total darkness. Hunts by vibration and ambush, striking from concealment with sudden precision.								",Average Insect,Average Insect,5.0,10 (Stinger),14,12,1.0,1.0,1.0,6.0,5.0,5.0,6.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,,,,,,,,Stinger,Claws (2 Attacks),,,,,,,"Cave Scorpion Venom Archetype: Paralytic Delivery: Injury (stinger) Save: Toughness DC12 Effect: On a failed save, the target is Paralyzed (cannot take Large Actions; movement reduced to 0) Duration: 1 minute per failed save Removal: Successful Toughness save (one per minute), Medicine, or Magic ",,Brace | Threaten | -,- | - | - | -
1spg,"Spider, Giant",1,"Giant spiders lurk in ruins and vertical spaces, remaining motionless until prey slows or hesitates. They strike from above, using webbing and venom to trap victims before retreating back into shadow.",Large Animal,Large Animal,10.0,10.0,12,12,1.0,1.0,1.0,5.0,6.0,6.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,,,,,,,,Bite,,,,,,,,"Webs: The target must succeed on an DC11 Dodge Save (negates) or become stuck to their space, unable to move until they succeed on a Dodge Save on their turn or the webbing is destroyed by a skill check or fire.",,Brace | Environment | Focus,- | - | - | -
1sps,Spider Swarm,1,Dense mass of smaller arachnids acting as a single organism. Causes panic and disorientation through overwhelming physical contact.								,Insect Swarm (Average),Insect Swarm (Average),5.0,5.0,10,12,1.0,1.0,1.0,4.0,6.0,6.0,5.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,,,,,,,,Swarm Bites,,,,,,,,"Swarm: Can not be knocked prone, and can not target limbs",,Focus | - | -,- | - | - | -
