classID,level,dodge,toughness,resist,slot1,slot2,slot3,slot4,slot5
assassin,1,2,1,0,,,,,
assassin,2,3,2,0,,,,,
assassin,3,3,2,1,,,,,
assassin,4,4,3,1,,,,,
assassin,5,4,3,1,,,,,
assassin,6,3,3,1,,,,,
assassin,7,3,3,1,,,,,
assassin,8,4,3,1,,,,,
assassin,9,4,3,2,,,,,
assassin,10,5,4,2,,,,,
brawler,1,1,2,0,,,,,
brawler,2,2,3,0,,,,,
brawler,3,2,3,1,,,,,
brawler,4,3,4,1,,,,,
brawler,5,3,4,1,,,,,
brawler,6,3,3,1,,,,,
brawler,7,3,3,1,,,,,
brawler,8,3,4,1,,,,,
brawler,9,3,4,2,,,,,
brawler,10,4,5,2,,,,,
deadbang,1,2,1,0,,,,,
deadbang,2,3,2,0,,,,,
deadbang,3,3,2,1,,,,,
deadbang,4,4,3,1,,,,,
deadbang,5,4,3,1,,,,,
deadbang,6,3,3,1,,,,,
deadbang,7,3,3,1,,,,,
deadbang,8,4,3,1,,,,,
deadbang,9,4,3,2,,,,,
deadbang,10,5,4,2,,,,,
hunter,1,2,1,0,,,,,
hunter,2,3,2,0,,,,,
hunter,3,3,2,1,,,,,
hunter,4,4,3,1,,,,,
hunter,5,4,3,1,,,,,
hunter,6,3,3,1,,,,,
hunter,7,3,3,1,,,,,
hunter,8,4,3,1,,,,,
hunter,9,4,3,2,,,,,
hunter,10,5,4,2,,,,,
knight,1,0,2,1,,,,,
knight,2,0,3,2,,,,,
knight,3,1,3,2,,,,,
knight,4,1,4,3,,,,,
knight,5,1,4,3,,,,,
knight,6,1,3,3,,,,,
knight,7,1,3,3,,,,,
knight,8,1,4,3,,,,,
knight,9,2,4,3,,,,,
knight,10,2,5,4,,,,,
thief,1,2,0,1,,,,,
thief,2,3,0,2,,,,,
thief,3,3,1,2,,,,,
thief,4,4,1,3,,,,,
thief,5,4,1,3,,,,,
thief,6,3,1,3,,,,,
thief,7,3,1,3,,,,,
thief,8,4,1,3,,,,,
thief,9,4,2,3,,,,,
thief,10,5,2,4,,,,,
priest,1,0,1,2,2,0,0,0,0
priest,2,0,2,3,3,0,0,0,0
priest,3,1,2,3,3,1,0,0,0
priest,4,1,3,4,4,2,0,0,0
priest,5,1,3,4,4,2,1,0,0
priest,6,1,3,3,4,3,2,0,0
priest,7,1,3,3,4,3,2,1,0
priest,8,1,3,4,4,3,3,2,0
priest,9,2,3,4,4,3,3,2,1
priest,10,2,4,5,4,3,3,3,2
wizard,1,0,0,2,3,0,0,0,0
wizard,2,0,0,3,4,0,0,0,0
wizard,3,1,1,3,4,1,0,0,0
wizard,4,1,1,4,5,2,0,0,0
wizard,5,1,1,4,5,3,1,0,0
wizard,6,1,1,3,5,3,2,1,0
wizard,7,1,1,3,5,4,3,2,1
wizard,8,1,1,4,5,4,3,2,2
wizard,9,2,2,4,5,4,4,3,2
wizard,10,2,2,5,5,4,4,3,3
warlock,1,1,0,2,2,0,0,0,0
warlock,2,2,0,3,2,0,0,0,0
warlock,3,2,1,3,3,1,0,0,0
warlock,4,3,1,4,3,2,0,0,0
warlock,5,3,1,4,3,2,1,0,0
warlock,6,3,1,3,3,3,2,0,0
warlock,7,3,1,3,3,3,2,1,0
warlock,8,3,1,4,3,3,3,2,0
warlock,9,3,2,4,3,3,3,2,1
warlock,10,4,2,5,3,3,3,2,2
