deityId,level,spellId
ALL,1,minor_heal_pri_1
ALL,1,slow_death_pri_1
ALL,2,moderate_heal_pri_2
ALL,2,detect_undead_pri_2
ALL,3,be_still_pri_3
ALL,3,smite_pri_3
abad,1,wrath_of_the_divine_pri_1
abad,1,voice_from_above_pri_1
abad,1,marked_by_the_divine_pri_1
abad,1,power_from_thy_hand_pri_1
abad,2,franks_lament_pri_2
abad,2,weight_of_damnation_pri_2
abad,2,elemental_ward_pri_2
abad,2,stillness_pri_2
abad,3,burden_of_sin_pri_3
abad,3,return_to_hell_pri_3
abad,3,hand_of_god_pri_3
abad,3,sanctuary_pri_3
abra,1,marked_by_the_divine_pri_1
abra,1,voice_from_above_pri_1
abra,1,wrath_of_the_divine_pri_1
abra,1,power_from_thy_hand_pri_1
abra,2,telepathy_pri_2
abra,2,stillness_pri_2
abra,2,elemental_ward_pri_2
abra,2,snap_out_of_it_pri_2
abra,3,burden_of_sin_pri_3
abra,3,sanctuary_pri_3
abra,3,hand_of_god_pri_3
abra,3,return_to_hell_pri_3
baph,1,marked_by_the_divine_pri_1
baph,1,voice_from_above_pri_1
baph,1,wrath_of_the_divine_pri_1
baph,1,power_from_thy_hand_pri_1
baph,2,telepathy_pri_2
baph,2,weight_of_damnation_pri_2
baph,2,franks_lament_pri_2
baph,2,godly_protection_pri_2
baph,3,burden_of_sin_pri_3
baph,3,sanctuary_pri_3
baph,3,hand_of_god_pri_3
baph,3,return_to_hell_pri_3
bala,1,power_from_thy_hand_pri_1
bala,1,wrath_of_the_divine_pri_1
bala,1,marked_by_the_divine_pri_1
bala,1,voice_from_above_pri_1
bala,2,franks_lament_pri_2
bala,2,elemental_ward_pri_2
bala,2,snap_out_of_it_pri_2
bala,2,godly_protection_pri_2
bala,3,hand_of_god_pri_3
bala,3,return_to_hell_pri_3
bala,3,sanctuary_pri_3
bala,3,burden_of_sin_pri_3
bloo,1,marked_by_the_divine_pri_1
bloo,1,power_from_thy_hand_pri_1
bloo,1,voice_from_above_pri_1
bloo,1,wrath_of_the_divine_pri_1
bloo,2,snap_out_of_it_pri_2
bloo,2,elemental_ward_pri_2
bloo,2,stillness_pri_2
bloo,2,godly_protection_pri_2
bloo,3,sanctuary_pri_3
bloo,3,burden_of_sin_pri_3
bloo,3,hand_of_god_pri_3
bloo,3,return_to_hell_pri_3
dsep,1,marked_by_the_divine_pri_1
dsep,1,voice_from_above_pri_1
dsep,1,wrath_of_the_divine_pri_1
dsep,1,power_from_thy_hand_pri_1
dsep,2,telepathy_pri_2
dsep,2,weight_of_damnation_pri_2
dsep,2,elemental_ward_pri_2
dsep,2,stillness_pri_2
dsep,3,burden_of_sin_pri_3
dsep,3,sanctuary_pri_3
dsep,3,hand_of_god_pri_3
dsep,3,return_to_hell_pri_3
halp,1,power_from_thy_hand_pri_1
halp,1,wrath_of_the_divine_pri_1
halp,1,marked_by_the_divine_pri_1
halp,1,voice_from_above_pri_1
halp,2,franks_lament_pri_2
halp,2,elemental_ward_pri_2
halp,2,snap_out_of_it_pri_2
halp,2,godly_protection_pri_2
halp,3,hand_of_god_pri_3
halp,3,sanctuary_pri_3
halp,3,return_to_hell_pri_3
halp,3,burden_of_sin_pri_3
hast,1,marked_by_the_divine_pri_1
hast,1,voice_from_above_pri_1
hast,1,wrath_of_the_divine_pri_1
hast,1,power_from_thy_hand_pri_1
hast,2,telepathy_pri_2
