id,eqpName,eqpType,weight,hands,slots,cost,eqpDesc,Misfire,capacityQuantity,DMGorTAC,DMGTypeMaterial,Area,Effect,Save,Notes,distance
alac,Acid Flask,alch,1,,1,5 oz silver,Glass flask filled with corrosive chemical compounds.,,,1d6 Acid,,Impact square + adjacent squares,Interacts with materials and armor per Acid rules.,DC12+LVL Dodge,,
albu,Burnbomb,alch,1,,1,5 oz silver,Crude incendiary device that bursts into flame on impact.,,,1d6 Fire,,Impact square + adjacent squares,Ignites flammable objects and materials.,DC12+LVL Dodge,,
alco,Corrosive Solvent,alch,0.5,,1,4 oz silver,Industrial-strength chemical used to weaken metal and bindings.,,,,,,Reduces the difficulty of forcing or picking a lock; single-use; cannot be used as a weapon.,—,,
alfl,Flare,alch,0.5,,1,2 oz silver,Alchemical ignition stick producing intense flame and light.,,,,,,Produces bright light for 1 minute (4 rounds); visible at long distances; may ignite flammable materials; can be thrown or placed.,—,,
alfr,Frost Flask,alch,1,,1,5 oz silver,Volatile cold compound that rapidly freezes surfaces.,,,1d6 Ice,,Impact square + adjacent squares,Targets are knocked Prone.,DC12+LVL Dodge,,
algl,Glowstick,alch,0,,1,1 oz silver,Sealed chemical light source that glows without heat.,,,,,,Provides dim light for 1 hour; waterproof; does not ignite materials.,—,,
alsm,Smoke Flask,alch,1,,1,3 oz silver,Flask of reactive chemicals that rapidly generate dense smoke.,,,,,Impact square + adjacent squares,Blocks normal vision for 1 minute (4 rounds); no damage or conditions.,—,,
alsu,Sunburst,alch,0.5,,1,6 oz silver,Alchemical flash charge that emits a blinding burst of light.,,,,,Impact square + adjacent squares,Targets are Blinded for 1 round.,DC12+LVL Dodge,,
alta,Tarbomb,alch,1,,1,5 oz silver,Heavy flask of sticky pitch that bursts outward on impact.,,,,,Impact square + adjacent squares,Targets cannot move on their next turn.,DC12+LVL Dodge,,
amar,Arrows,ammo,1,,2,1 oz silver,Standard bow ammunition,,10,,Bolt,,,,,
ambo,Bolts,ammo,1.5,,2,1 oz silver,Standard crossbow ammunition,,10,,Bolt,,,,,
amsl,Sling Stones,ammo,2,,1,1 oz silver,Standard sling ammunition,,20,,Bludgeoning,,,,,
amca,Cartridges,ammo,0.5,,1,2 oz silver,Standard firearm ammunition,,6,,Bullet,,,,,
amsc,Scatter Cartridges,ammo,0.5,,1,2 oz silver,Shot-style cartridges,,4,,Bullet,,,,,
amci,Cinderslugs,ammo,0.5,,1,3 oz silver,Cartridges with alchemical burn,,6,1 F,Bullet,,Fire,,,
amco,Coldsteel Rounds,ammo,0.5,,1,3 oz silver,Cartridges with alchemical freeze,,6,1 I,Bullet,,Ice,,,
amst,Stormshot,ammo,0.5,,1,4 oz silver,Cartridges with alchmeical shock,,6,1 E,Bullet,,Electricity,,,
amro,Rotshot,ammo,0.5,,1,4 oz silver,Cartridges with alchemical acid,,6,1 A,Bullet,,Acid,,,
ampi,Pitch-Tip Bolts,ammo,0.75,,2,3 oz silver,Bolts with alchemical burn,,5,1 F,Bolt,,Fire,,,
amwh,White Frost Arrows,ammo,0.5,,2,3 oz silver,Arrows with alchemical freeze,,5,1 I,Bolt,,Ice,,,
amsp,Sparkshot Arrows,ammo,0.5,,2,3 oz silver,Arrows with alchemical shock,,5,1 E,Bolt,,Electricity,,,
amme,Melting Bolts,ammo,0.75,,2,3 oz silver,Bolts with alchemical acid,,5,1 A ,Bolt,,Acid,,,
amba,Barbed Arrows,ammo,0.3,,2,3 oz silver,Arrows with barbs that cause Bleed DMG,,3,,Bullet,,Bleeding,Toughness 12 + Attacker LVL,,
amfl,Flashbang Rounds,ammo,0.3,,1,3 oz silver,Cartirdges with extra bright flash,,3,,Bullet,,Blinded,Dodge 12 + Attacker LVL,,
amsa,Sawtooth Rounds,ammo,0.3,,1,3 oz silver,Cartridges with carved heads that cause additional Bleed DMG,,3,,Bolt,,Bleeding,Toughness 12 + Attacker LVL,,
amsu,Sun Bolts,ammo,0.4,,2,3 oz silver,Bolts with alchmical brightness,,3,,Bolt,,Blinded,Dodge 12 + Attacker LVL,,
amta,Tainted Rounds,ammo,0.3,,1,3 oz silver,Poisoned cartridges,,3,,Bullet,,Poisoned,Resist 12 + Attacker LVL,,
