id,name,featType,featPrereq,reqLevel,reqAbilities,reqClass,reqRaces,reqFeats,reqNotes,grantsChoice,choiceOptions,ranks,featDescription
mbid,Ambidextrous,CBT,"STR 7, Brawler or Knight, LVL 2",2,STR:7,Brawler|Knight,,,,,,3,"You can attack with a M/U attack with each hand, taking a -2 on the off hand. At 2nd level you no longer take a penalty. At 3rd level, if both attack land deal an extra LVL damage."
anda,And Again!,CBT,LVL 3,3,,,,,,,,2,Make an additional attack if your first attack hits. At 2nd level you can make an additional attack if your 2nd attack hits. Can not be taken twice in a row.
aasb,"As Above, So Below",CBT,* See Desc,,,,,,Available to anyone but can only be used if you have an ally of differing size than you.,,,1,"When you flank with an ally significantly smaller or taller than you (eg Little & Human, Grey & Outlander, etc.), you can flank from any position, not just directly across"
reak,Break the Line,CBT,"STR 7, LVL 2",2,STR:7,,,,,,,1,"When you move at least 10 feet and successfully hit an enemy with a melee or unarmed attack, that enemy cannot make Attacks of Opportunity until the start of your next turn. This does not prevent other reactions or actions, only Attacks of Opportunity."
ruce,Bruce Leroy,CBT,"STR 6, AGI 6",,STR:6|AGI:6,,,,,,,2,"Unarmed attacks deal LVL additional damage. At level 2, deal 2xLVL additional damage."
bumr,Bum Rush,CBT,Not a Little or Grey,,,,Human|Mutant|Outlander,,,,,3,"As long as you are at least 10 feet away, you can run up on a opponent and with a successful unarmed attack you can knock that opponent back five feet, making them land prone. This provokes an AoO from any characters it applies to. At level 2, you no longer provoke an AoO when bum rushing, you can choose to push your opponent 10 feet, and get +1 to the unarmed attack. At level 3 you get an additional +2 to the unarmed attack, and can start a bum rush from any distance. Can not be used on enemies > 100 pound heavier than you, and can not be taken twice in a row."
cncm,Can't Catch Me!,CBT,"AGI 8/9 (1st/2nd rank), Assassin or Thief",,AGI:8,Assassin|Thief,,,,,,2,"You can move up to 50% of your normal speed, make an attack, and then finish your movement. Provokes an AoO at first level, but does not at 2nd. Can't be taken twice in a row."
clrf,Cat Like Reflexes,CBT,AGI 7/8,,AGI:7,,,,,,,2,At first level you get one extra AoO per round. At 2nd level you gain up to LVL additional AoO's per round. Can't be taken twice in a row.
leav,Cleaving,CBT,"Brawler or Knight, LVL 3",3,,Brawler|Knight,,,,,,3,"If you hit your opponent with a melee/unarmed attack, you make one additional m/u attack against another enemy within reach with a -2 to your attack. At 2nd level, additionally if any opponent is reduced to 0 HP you can make ANOTHER m/u attack on an additional opponent with the same -2. At rank 3 you can continue attacking additional opponents for every opponent knocked to 0 HP at a -2 attack until you don't knock someone out. Can not be taken twice in a row."
"ead,","Dead, From Here",CBT,LVL 3,3,,,,,,,,2,You can add five feet to the range of your sneak attack. At 2nd level you can make a sneak attack with a bow or crossbow.
deae,Deadeye,CBT,Hunter or Assassin,,,Hunter|Assassin,,,,,,2,"You can make your attacks with a rifle or a bow/crossbow more deadly with a sacrifice to their accuracy. You must choose to use Deadeye before attacking, and when using it you get -1 to your attack but +2 on your damage. At 2nd level you sacrifice 2 to accuracy for an extra 4 damage."
dowh,Do what I Do,CBT,CHA 7,,CHA:7,,,,,,,1,"When you hit a flanked opponent or when you hit an opponent with a critical non-ranged hit, any other allies attacking the same get +2 to their attacks for the rest of the round."
rop ,Drop It,CBT,"INT 7, AGI 7",,INT:7|AGI:7,,,,,,,1,"When you hit your opponent with a critical hit, they drop the weapon in their hand."
ollo,Follow that Guy,CBT,AGI 8,,AGI:8,,,,,,,1,Others in your party can take your stealth roll as long as they stay 5 feet or more behind you while moving.
ggtg,Good Goddamn That's Gross!!,CBT,"AGI 9, Good Goddamn They're Good!, Brawler or Knight",,AGI:9,,,good,,,,1,If you've shown of how goddamned good you are with your weapon in this combat and you knock an opponent to 0 HP with that weapon you immediately kill your opponent in a supry gory fashion which has a chance to intimidate any of their allies within sight of the gore.
ood ,Good Goddamn They're Good!,CBT,AGI 7,,AGI:7,,,,,,,2,"As a LA you can show off with your weapon in a way that requires your opponents to make a check or be intimidated. Works on all opponents within 30 feet of you that can see you. At 2nd level all opponents within 50 feet that can see you are affected, and your allies get a +2 to their attack this round as your opponents are focused on you. Can't be taken twice in a row."
hyyy,"Hey, You! Yeah, You!!",CBT,CHA 7,,CHA:7,,,,,,,1,As a SA you can attempt to intimidate an opponent within 50 feet that can see and hear your taunts. They must make a DC12+LVL Resist save or be intimidated.
tfo,KTFO,CBT,"LVL 2, Brawler or Knight",2,,,,,,,,1,A critical hit with a Hand 2 Hand or Melee attack knocks your opponent unconscious for one round of combat.
myey,My Eye!,CBT,AGI 7,,AGI:7,,,,,,,1,"As a SA, reflect light from any polished surface, blinding an opponent for one round."
nowi,Now I'm Mad,CBT,"STR 7, Brawler or Knight, LVL 2",2,STR:7,Brawler|Knight,,,,,,2,"You are just so gd angry that you can't focus but you hit real hard. -1 to your attack roll but +2 DMG. At 2nd level you no longer get a -1, and you get a chance (Resist vs LVL?) to intimidate the opponent you hit."
heer,Sheer Persistence,RCE,"Human, END 7",,END:7,,Human,,,,,1,"When reduced to 0 HP, you do not lose 1 HP per round while unconscious; death still occurs at (STR+END)×–1 HP."
shoe,Shô,CBT,AGI 8,,AGI:8,,,,,,,1,"When you make a successful sneak attack, get 1dLVL additional damage."
mash,Smash!,CBT,STR 8,,STR:8,,,,,,,2,A critical hit on an unarmed attack sends a opponent flying backwards 5 feet. At level two they fly 10ft and take an additional 1d3 DMG.
neak,Sneaky,CBT,"Assassin, Thief, or Deadbang",,,Assassin|Thief|Deadbang,,,,,,1,"When you are either unseen, or your opponent is preoccupied with an ally flanking them, you deal an additional LVL worth of damage to melee / unarmed attacks."
sosl,So Slick,CBT,AGI 7,,AGI:7,,,,,,,2,"You are so smooth that you gain an extra +1 to your TAC. Can be taken twice, but not twice in a row."
prin,Spring,CBT,AGI 8,,AGI:8,,,,,,,1,You can hop up from prone as a SA instead of a LA
uper,Super Sneaky,CBT,"Sneaky, LVL 3",3,,,,snea,,,,1,Increases sneak attack by to 1dLVL*2
adom,Yadomejutsu (矢留術),CBT,"LVL 5, AGI 7",5,AGI:7,,,,,,,3,矢留術 is the “Arrow Stopping Art;” you are able to avoid one Bolt attack per round. At 2nd and 3rd levels avoid an additional bolt per round.
ygro,You've Got Red on You,CBT,Brawler or Knight,,,Brawler|Knight,,,,,,1,"When you score a critical hit with a Piercing or Slashing weapon, your opponent takes 1d3 Bleed DMG"
rcan,Arcane Familiarity,CLA,Wizard,,,Wizard,,,,,,1,"WIZARD CLASS FEAT. Once per day, when casting a spell, the Wizard may treat their caster level as +1 for the effects of that spell."
rom ,From Within,CLA,Warlock,,,Warlock,,,,,,1,"WARLOCK CLASS FEAT. A Warlock's power comes from their bloodline, and this makes all of their spells Simple."
gots,Got Slugs?,CLA,Deadbang or Hunter,,,Deadbang|Hunter,,,,,,2,"You can make/reload cartridges from found materials at a rate of 5 min per cartridge and 1/2 purchase cost. At 2nd level with the correct components you can make special cartridges, and your time is reduce to 3 min per cartridge."
gnsl,Gunslinger,CLA,"AGI 8, Hunter or Deadbang, LVL 2",2,AGI:8,Hunter|Deadbang,,,,,,2,Reloading a weapon becomes a FA and unjamming a weapon becomes a SA; at 2nd level unjamming becomes a FA. Can't be taken twice in a row.
gnsm,Gunsmith,CLA,Deadbang or Hunter,,,Deadbang|Hunter,,,,,,1,"HUNTER/DEADBANG CLASS FEAT. Allows you to fix a gun that is broken, and add to / upgrade weapons with components"
hehs,"Hit 'em Hard, Son",CLA,Knight,,,Knight,,,,,,2,"KNIGHT CLASS FEAT. You are able to hits so hard that you substitute accuracy for strength; take a -1 on your attack roll, but add LVL to your damage roll. At 2nd level, take a -2 for a +LVL*2 bonus to damage."
howi,How I Could Just Kill a Man,CLA,Assassin,,,Assassin,,,,,,1,"ASSASSIN CLASS FEAT. If a enemy drops to 0 HP they are instantly dead, no unconscious stage"
itsa,It's a Trap!,CLA,Thief,,,Thief,,,,,,2,"If a trap goes off, you get +1 to applicable dodge saves. At 2nd level if you discover a trap you can make a skill check to disarm it with a +LVL bonus."
immy,Jimmy,CLA,Thief,,,Thief,,,,,,2,"THIEF CLASS FEAT. When you attempt to lockpick, you can reroll a failed attempt. And 2nd level, adds +1 to your roll(s) as well as allowing a re-roll if necessary. Can't be taken twice in a row."
